name,city,state,type,fees_ug_inr,placement_avg_lpa,rating,nirf_rank
IIT (ISM) Dhanbad,Dhanbad,Jharkhand,IIT,225000,12,8.4,15
IIT Bhilai,Raipur,Chhattisgarh,IIT,220000,12,7.5,95
IIT BHU Varanasi,Varanasi,Uttar Pradesh,IIT,220000,20,8.6,10
IIT Bhubaneswar,Bhubaneswar,Odisha,IIT,224000,14,7.9,39
IIT Bombay,Mumbai,Maharashtra,IIT,228000,19.61,8.9,3
IIT Delhi,New Delhi,Delhi,IIT,227750,19.08,9.4,2
IIT Dharwad,Dharwad,Karnataka,IIT,218000,11.62,7.6,77
IIT Gandhinagar,Gandhinagar,Gujarat,IIT,229426,14,8.2,25
IIT Goa,Ponda,Goa,IIT,220000,13,7.7,90
IIT Guwahati,Guwahati,Assam,IIT,224500,21.6,8.8,8
IIT Hyderabad,Hyderabad,Telangana,IIT,230000,21,8.8,7
IIT Indore,Indore,Madhya Pradesh,IIT,114600,19.48,8.5,12
IIT Jammu,Jammu,Jammu & Kashmir,IIT,60040,53,7.5,92
IIT Jodhpur,Jodhpur,Rajasthan,IIT,254800,53,8.1,27
IIT Kanpur,Kanpur,Uttar Pradesh,IIT,253120,24,9.2,4
IIT Kharagpur,Kharagpur,West Bengal,IIT,228500,15,9.1,5
IIT Madras,Chennai,Tamil Nadu,IIT,225000,17.5,9.5,1
IIT Mandi,Mandi,Himachal Pradesh,IIT,219000,18.5,8.2,26
IIT Palakkad,Palakkad,Kerala,IIT,218000,12,7.5,94
IIT Patna,Patna,Bihar,IIT,273250,19,8.4,19
IIT Roorkee,Roorkee,Uttarakhand,IIT,224100,17,9,6
IIT Ropar,Rupnagar,Punjab,IIT,249460,16.97,8,32
IIT Tirupati,Tirupati,Andhra Pradesh,IIT,218000,11,7.4,57
MANIT Bhopal,Bhopal,Madhya Pradesh,NIT,158000,10.7,7.4,58
MNIT Jaipur,Jaipur,Rajasthan,NIT,160000,11,7.7,42
MNNIT Allahabad,Prayagraj,Uttar Pradesh,NIT,84666,12,8,62
MNNIT Allahabad - Motilal Nehru National Institute of Technology,Allahabad,Uttar Pradesh,Government,168000,13,7,
NIT Agartala,Agartala,Tripura,NIT,150000,7,7.2,67
NIT Andhra Pradesh,Tadepalligudem,Andhra Pradesh,NIT,150000,7.56,6.9,89
NIT Arunachal Pradesh,Yupia,Arunachal Pradesh,NIT,150000,8.1,6.9,82
NIT Calicut,Kozhikode,Kerala,NIT,165000,12.5,7.9,21
NIT Delhi,New Delhi,Delhi,NIT,165000,15.9,7.2,88
NIT Durgapur,Durgapur,West Bengal,NIT,165000,11.24,7.5,49
NIT Goa,Ponda,Goa,NIT,155000,7.25,7.1,74
NIT Hamirpur,Hamirpur,Himachal Pradesh,NIT,155000,10.5,7.3,64
NIT Jalandhar,Jalandhar,Punjab,NIT,155000,7.94,7.3,59
NIT Jamshedpur,Jamshedpur,Jharkhand,NIT,162000,10.8,7.2,69
NIT Kurukshetra,Kurukshetra,Haryana,NIT,155000,9,7.4,62
NIT Manipur,Imphal,Manipur,NIT,150000,7.5,7,78
NIT Meghalaya,Shillong,Meghalaya,NIT,150000,10.5,7.1,60
NIT Mizoram,Aizawl,Mizoram,NIT,150000,7.15,6.9,85
NIT Patna,Patna,Bihar,NIT,155000,7,6.9,53
NIT Puducherry,Karaikal,Puducherry,NIT,150000,7,6.9,80
NIT Raipur,Raipur,Chhattisgarh,NIT,155000,8.5,7.1,72
NIT Rourkela,Rourkela,Odisha,NIT,175000,15.25,8.3,13
NIT Sikkim,Ravangla,Sikkim,NIT,150000,8.25,6.9,84
NIT Silchar,Silchar,Assam,NIT,155000,11,7.5,50
NIT Srinagar,Srinagar,Jammu & Kashmir,NIT,155000,11,7,76
NIT Surathkal,Mangaluru,Karnataka,NIT,160000,14,8.2,17
NIT Trichy,Tiruchirappalli,Tamil Nadu,NIT,170000,14.35,8.5,9
"NIT Trichy, Tiruchirappalli",,Tamil Nadu,Engineering,149250,8.8,8.5,
NIT Uttarakhand,Srinagar,Uttarakhand,NIT,150000,9.54,6.9,86
